fid,full_id,osm_id,osm_type,addr:country,addr:city,maxspeed,tactile_paving,traffic_signals,wheelchair,short_name,lit,amenity,operator,network:wikidata,network:short,network,shelter,bin,bench,name:en,route_ref,ref,public_transport,name,location,bus,button_operated,crossing,traffic_signals:direction,highway
"1",n410458923,"410458923",node,,,,,,,,,,,,,,,,,,"169","58209",platform,After Pakistan Road,Admiralty Road East,yes,,,,bus_stop
"2",n410458924,"410458924",node,,,,,,,,,,,,,,,,,,"169;169A","58201",platform,After Queen'S Avenue,Admiralty Road East,yes,,,,bus_stop
"3",n410458927,"410458927",node,,,,,,,,,,,,,,,,,,"169","58189",platform,Opposite Sembawang Drug Rehabilitationb Centre,Admiralty Road West,yes,,,,bus_stop
"4",n410458929,"410458929",node,,,,,,,,,,,,,,,,,,"169;856;981","47809",platform,Opposite Sunshine Bakery,Admiralty Road West,yes,,,,bus_stop
"5",n410458937,"410458937",node,,,,,,,,,,,,,,,,,,"169;169A","47811",platform,Woodlands Sunny Food,Admiralty Road West,yes,,,,bus_stop
"6",n410458957,"410458957",node,,,,,,,,,,,,,,,,,Sembawang camp,"169;169A;856;981","58141",platform,Sembawang Camp,Admiralty Road West,yes,,,,bus_stop
"7",n410458976,"410458976",node,,,,,,,,,,,,,,,,,,"169","47829",platform,Sumitomo Bakelite Singapore,Admiralty Road West,yes,,,,bus_stop
"8",n410458991,"410458991",node,,,,,,,,,,,,,,,,,,"169","47819",platform,Opposite Woodlands Sunny Food,Admiralty Road West,yes,,,,bus_stop
"9",n410459054,"410459054",node,,,,,,,,,,,,,,,,,,"169;169A;856;981","47801",platform,Sunshine Bakery,Admiralty Road West,yes,,,,bus_stop
"10",n410459086,"410459086",node,,,,,,,,,,,,,,yes,yes,yes,,"169;856","47079",platform,Opposite British American Tobacco,Admiralty Road West,yes,,,,bus_stop
"11",n410459130,"410459130",node,,,,,,,,,,,,,,yes,yes,yes,,"169;169A;856","47071",platform,Before British American Tobacco,Admiralty Road West,yes,,,,bus_stop
"12",n410459198,"410459198",node,,,,,,,,,,,,,,,,,,"169;169A","58181",platform,Sembawang Drug Rehabilitationb Centre,Admiralty Road West,yes,,,,bus_stop
"13",n410459201,"410459201",node,,,,,,,,,,,,,,,,,,"169","58179",platform,Opposite Sembawang Corporation Industries,Admiralty Road West,yes,,,,bus_stop
"14",n410459202,"410459202",node,,,,,,,,,,,,,,,,,,"169;169A","58171",platform,Sembawang Corporation Industries,Admiralty Road West,yes,,,,bus_stop
"15",n410459203,"410459203",node,,,,,,,,,,,,,,,,,,"169;169A","47821",platform,Opposite Sumitomo Bakelite Singapore,Admiralty Road West,yes,,,,bus_stop
"16",n410459204,"410459204",node,,,,,,,,,,,,,,,,,,"169;856;981","58169",platform,After HomeTeamNS Sembawang Resort,Admiralty Road West,yes,,,,bus_stop
"17",n410459205,"410459205",node,,,,,,,,,,,,,,,,,,"169;169A;856;981","58161",platform,Before Sembawang Shipyard G 3,Admiralty Road West,yes,,,,bus_stop
"18",n410459206,"410459206",node,,,,,,,,,,,,,,,,,,"169;856;981","58149",platform,Opposite Sembawang Shipyard G 8,Admiralty Road West,yes,,,,bus_stop
"19",n410459598,"410459598",node,,,,,,,,,,,,,,,,,,"132;165;166;169;262","56261",platform,After Ang Mo Kio Avenue 2,Ang Mo Kio Avenue 1,yes,,,,bus_stop
"20",n410459645,"410459645",node,,,,,,,,,,,,,,yes,,,,"132;165;166;169;262","54061",platform,Blk 244,Ang Mo Kio Avenue 1,yes,,,,bus_stop
"21",n410459647,"410459647",node,,,,,,,,,,,,,,,,,,"132;165;166;169","54069",platform,Opposite Blk 244,Ang Mo Kio Avenue 1,yes,,,,bus_stop
"22",n410459649,"410459649",node,,,,,,,,,,Land Transport Authority,Q3299279,LTA,Land Transport Authority,,,,,"132;165;166;169","56269",platform,Before Ang Mo Kio Avenue 2,Ang Mo Kio Avenue 1,yes,,,,bus_stop
"23",n410459707,"410459707",node,,,,,,,,,,,,,,,,,,"1N;76;132;165;166;169;265;268;268C;269;269A;652;CT8","54239",platform,Blk 209,Ang Mo Kio Avenue 3,yes,,,,bus_stop
"24",n410459711,"410459711",node,,,,,,,,,,,,,,,,,,"76;132;165;166;169;265;268;268A;268B;269;652;CT8","54231",platform,Blk 129,Ang Mo Kio Avenue 3,yes,,,,bus_stop
"25",n410459716,"410459716",node,,,,,,,,,,,,,,,,,,"71;132;165;166;169;262","54211",platform,Mayflower Secondary School,Ang Mo Kio Avenue 3,yes,,,,bus_stop
"26",n410459717,"410459717",node,,,,,,,,,,Land Transport Authority,Q3299279,LTA,Land Transport Authority,,,,,"74;76;86;88;130;132;133;136;138;162;162M;165;166;169;265;268;268A;268B;269;853;853M;CT8","54241",platform,Blk 700B,Ang Mo Kio Avenue 3,yes,,,,bus_stop
"27",n410459725,"410459725",node,,,,,,,,,,,,,,,,,,"1N;76;132;165;166;169;265;268;268C;269;269A;652;CT8","54229",platform,Ang Mo Kio Primary School,Ang Mo Kio Avenue 3,yes,,,,bus_stop
"28",n410459727,"410459727",node,,,,,,,,,,,,,,yes,,,,"86;138;138A;138B;162;162M;169;853;853M","54247",platform,Blk 322,Ang Mo Kio Avenue 3,yes,,,,bus_stop
