fid,full_id,osm_id,osm_type,ref,addr:country,addr:city,wikipedia,wikidata,tactile_paving,network:wikidata,network:short,network,lit,amenity,air_conditioning,button_operated,maxspeed,short_name,wheelchair,operator,name:en,bin,shelter,bench,route_ref,public_transport,name,location,bus,traffic_signals,crossing,highway
"1",n410458900,"410458900",node,"46139",,,,,,,,,,,,,,,,,,,,,"856",platform,After Riverside Road,Admiralty Road,yes,,,bus_stop
"2",n410458901,"410458901",node,"46119",,,,,,,,,,,,,,,,,,,yes,yes,"178;178A;856;903",platform,Marsiling Community Club,Admiralty Road,yes,,,bus_stop
"3",n410458909,"410458909",node,"46121",,,,,,,,,,,,,,,,,,,yes,yes,"856",platform,Opposite Marsiling Lane Market/Food Centre,Admiralty Road,yes,,,bus_stop
"4",n410458915,"410458915",node,"47019",,,,,,,,,,,,,,,,,,,,,"856",platform,After Woodlands Waterfront Park,Admiralty Road,yes,,,bus_stop
"5",n410458916,"410458916",node,"46129",,,,,,,,,,,,,,,,,,yes,yes,yes,"856",platform,Marsiling Lane Market/Food Centre,Admiralty Road,yes,,,bus_stop
"6",n410458917,"410458917",node,"46111",,,,,,,,,,,,,,,,,,,,,"178;856;903;NR2",platform,Blk 23,Admiralty Road,yes,,,bus_stop
"7",n410458919,"410458919",node,"47011",,,,,,,,,,,,,,,,,,,,,"856",platform,Before Woodlands Waterfront Park,Admiralty Road,yes,,,bus_stop
"8",n410458922,"410458922",node,"46131",,,,,,,,,,,,,,,,,,,,,"856",platform,After Marsiling Lane,Admiralty Road,yes,,,bus_stop
"9",n410458929,"410458929",node,"47809",,,,,,,,,,,,,,,,,,,,,"169;856;981",platform,Opposite Sunshine Bakery,Admiralty Road West,yes,,,bus_stop
"10",n410458957,"410458957",node,"58141",,,,,,,,,,,,,,,,,Sembawang camp,,,,"169;169A;856;981",platform,Sembawang Camp,Admiralty Road West,yes,,,bus_stop
"11",n410459004,"410459004",node,"47029",,,,,,,,,,,,,,,,,,,yes,yes,"856",platform,Opposite Khalsa Crescent Drug Rehabilitationb Centre,Admiralty Road West,yes,,,bus_stop
